CD_DISPOSITIVO,CD_NOME_TAG,VALUE,DT_MODBUS,ALARM,NM_EQUIPAMENTO,DT_MODBUS_CONV
CRM708147,CRM_CRM708147_BATTERY_REMAINING_CAPACITY,67,1658031870,False,CDC,2022-07-17T04:24:32.000+0000
CRM4000502306,CRM_CRM4000502306_BATTERY_REMAINING_CAPACITY,70,1658032260,False,CDC,2022-07-17T04:30:56.000+0000
CRM503086,CRM_CRM503086_BATTERY_REMAINING_CAPACITY,0,1658032380,False,CDC,2022-07-17T04:33:04.000+0000
ERPJU55502,ERP_ERPJU55502_BATTERY_REMAINING_CAPACITY,26,1658032380,False,CDC,2022-07-17T04:33:04.000+0000
ERP059A,ERP_ERP059A_BATTERY_REMAINING_CAPACITY,68,1658032770,False,CDC,2022-07-17T04:39:28.000+0000
CRM4000545020,CRM_CRM4000545020_BATTERY_REMAINING_CAPACITY,69,1658032770,False,CDC,2022-07-17T04:39:28.000+0000
CRM476398,CRM_CRM476398_BATTERY_REMAINING_CAPACITY,70,1658032900,False,CDC,2022-07-17T04:41:36.000+0000
CRM763595,CRM_CRM763595_BATTERY_REMAINING_CAPACITY,69,1658032900,False,CDC,2022-07-17T04:41:36.000+0000
CRM480138,CRM_CRM480138_BATTERY_REMAINING_CAPACITY,71,1658033020,True,CDC,2022-07-17T04:43:44.000+0000
ERPLV55501,ERP_ERPLV55501_BATTERY_REMAINING_CAPACITY,65,1658033150,False,CDC,2022-07-17T04:45:52.000+0000
ERPSJBV5101,ERP_ERPSJBV5101_BATTERY_REMAINING_CAPACITY,64,1658033410,False,CDC,2022-07-17T04:50:08.000+0000
ERPLM55501,ERP_ERPLM55501_BATTERY_REMAINING_CAPACITY,66,1658033410,False,CDC,2022-07-17T04:50:08.000+0000
ERPCO25501,ERP_ERPCO25501_BATTERY_REMAINING_CAPACITY,67,1658033410,False,CDC,2022-07-17T04:50:08.000+0000
ERPBP15501,ERP_ERPBP15501_BATTERY_REMAINING_CAPACITY,64,1658033410,False,CDC,2022-07-17T04:50:08.000+0000
CRM422202,CRM_CRM422202_BATTERY_REMAINING_CAPACITY,63,1658033660,False,CDC,2022-07-17T04:54:24.000+0000
ERPJU15505,ERP_ERPJU15505_BATTERY_REMAINING_CAPACITY,65,1658033660,True,CDC,2022-07-17T04:54:24.000+0000
CRM4001609798,CRM_CRM4001609798_BATTERY_REMAINING_CAPACITY,70,1658033790,True,CDC,2022-07-17T04:56:32.000+0000
CRM713668,CRM_CRM713668_BATTERY_REMAINING_CAPACITY,21,1658033790,True,CDC,2022-07-17T04:56:32.000+0000
CRM719227,CRM_CRM719227_BATTERY_REMAINING_CAPACITY,67,1658033920,False,CDC,2022-07-17T04:58:40.000+0000
CRM4001071772,CRM_CRM4001071772_BATTERY_REMAINING_CAPACITY,67,1658034050,False,CDC,2022-07-17T05:00:48.000+0000
CRM707769,CRM_CRM707769_BATTERY_REMAINING_CAPACITY,54,1658034180,False,CDC,2022-07-17T05:02:56.000+0000
CRM1107189,CRM_CRM1107189_BATTERY_REMAINING_CAPACITY,66,1658034300,False,CDC,2022-07-17T05:05:04.000+0000
ERPCA55501,ERP_ERPCA55501_BATTERY_REMAINING_CAPACITY,67,1658034560,False,CDC,2022-07-17T05:09:20.000+0000
CRM4000754643,CRM_CRM4000754643_BATTERY_REMAINING_CAPACITY,64,1658035330,False,CDC,2022-07-17T05:22:08.000+0000
CRM707652,CRM_CRM707652_BATTERY_REMAINING_CAPACITY,56,1658035580,False,CDC,2022-07-17T05:26:24.000+0000
ERPAG55501,ERP_ERPAG55501_BATTERY_REMAINING_CAPACITY,63,1658035580,False,CDC,2022-07-17T05:26:24.000+0000
ERPSJBV55501,ERP_ERPSJBV55501_BATTERY_REMAINING_CAPACITY,66,1658035580,False,CDC,2022-07-17T05:26:24.000+0000
ERPCA55502,ERP_ERPCA55502_BATTERY_REMAINING_CAPACITY,65,1658035580,False,CDC,2022-07-17T05:26:24.000+0000
CRM899892,CRM_CRM899892_BATTERY_REMAINING_CAPACITY,64,1658035710,False,CDC,2022-07-17T05:28:32.000+0000
CRM814378,CRM_CRM814378_BATTERY_REMAINING_CAPACITY,69,1658035840,True,CDC,2022-07-17T05:30:40.000+0000
ERPJU25502,ERP_ERPJU25502_BATTERY_REMAINING_CAPACITY,65,1658035840,False,CDC,2022-07-17T05:30:40.000+0000
CRM708148,CRM_CRM708148_BATTERY_REMAINING_CAPACITY,64,1658035970,False,CDC,2022-07-17T05:32:48.000+0000
ERP185,ERP_ERP185_BATTERY_REMAINING_CAPACITY,63,1658035970,False,CDC,2022-07-17T05:32:48.000+0000
ERPJU15504,ERP_ERPJU15504_BATTERY_REMAINING_CAPACITY,64,1658036100,False,CDC,2022-07-17T05:34:56.000+0000
CRM547361,CRM_CRM547361_BATTERY_REMAINING_CAPACITY,67,1658036220,True,CDC,2022-07-17T05:37:04.000+0000
CRM759034,CRM_CRM759034_BATTERY_REMAINING_CAPACITY,67,1658036350,True,CDC,2022-07-17T05:39:12.000+0000
CRM530846,CRM_CRM530846_BATTERY_REMAINING_CAPACITY,67,1658036610,True,CDC,2022-07-17T05:43:28.000+0000
CRM684433,CRM_CRM684433_BATTERY_REMAINING_CAPACITY,67,1658036740,True,CDC,2022-07-17T05:45:36.000+0000
CRM763593,CRM_CRM763593_BATTERY_REMAINING_CAPACITY,18,1658036860,True,CDC,2022-07-17T05:47:44.000+0000
CRM778849,CRM_CRM778849_BATTERY_REMAINING_CAPACITY,69,1658036990,False,CDC,2022-07-17T05:49:52.000+0000
CRM790020,CRM_CRM790020_BATTERY_REMAINING_CAPACITY,66,1658037380,False,CDC,2022-07-17T05:56:16.000+0000
ERP148,ERP_ERP148_BATTERY_REMAINING_CAPACITY,62,1658037500,False,CDC,2022-07-17T05:58:24.000+0000
CRM911363,CRM_CRM911363_BATTERY_REMAINING_CAPACITY,67,1658037500,False,CDC,2022-07-17T05:58:24.000+0000
CRM490625,CRM_CRM490625_BATTERY_REMAINING_CAPACITY,65,1658037500,False,CDC,2022-07-17T05:58:24.000+0000
CRM481392,CRM_CRM481392_BATTERY_REMAINING_CAPACITY,69,1658037760,True,CDC,2022-07-17T06:02:40.000+0000
CRM520239,CRM_CRM520239_BATTERY_REMAINING_CAPACITY,66,1658037760,False,CDC,2022-07-17T06:02:40.000+0000
CRM508416,CRM_CRM508416_BATTERY_REMAINING_CAPACITY,66,1658038140,False,CDC,2022-07-17T06:09:04.000+0000
CRM500846,CRM_CRM500846_BATTERY_REMAINING_CAPACITY,68,1658038140,False,CDC,2022-07-17T06:09:04.000+0000
ERPBP5101,ERP_ERPBP5101_BATTERY_REMAINING_CAPACITY,61,1658038400,False,CDC,2022-07-17T06:13:20.000+0000
CRM476398,CRM_CRM476398_BATTERY_REMAINING_CAPACITY,68,1658038530,False,CDC,2022-07-17T06:15:28.000+0000
CRM630926,CRM_CRM630926_BATTERY_REMAINING_CAPACITY,67,1658038780,False,CDC,2022-07-17T06:19:44.000+0000
CRM735498,CRM_CRM735498_BATTERY_REMAINING_CAPACITY,68,1658038780,True,CDC,2022-07-17T06:19:44.000+0000
ERPID15504,ERP_ERPID15504_BATTERY_REMAINING_CAPACITY,64,1658039040,False,CDC,2022-07-17T06:24:00.000+0000
CRM508416,CRM_CRM508416_BATTERY_REMAINING_CAPACITY,65,1658039040,False,CDC,2022-07-17T06:24:00.000+0000
ERPJU15505,ERP_ERPJU15505_BATTERY_REMAINING_CAPACITY,63,1658039300,True,CDC,2022-07-17T06:28:16.000+0000
CRM476398,CRM_CRM476398_BATTERY_REMAINING_CAPACITY,68,1658039420,False,CDC,2022-07-17T06:30:24.000+0000
CRM713668,CRM_CRM713668_BATTERY_REMAINING_CAPACITY,20,1658039420,True,CDC,2022-07-17T06:30:24.000+0000
ERPPR15506,ERP_ERPPR15506_BATTERY_REMAINING_CAPACITY,62,1658039550,False,CDC,2022-07-17T06:32:32.000+0000
CRM520239,CRM_CRM520239_BATTERY_REMAINING_CAPACITY,65,1658039680,False,CDC,2022-07-17T06:34:40.000+0000
CRM481392,CRM_CRM481392_BATTERY_REMAINING_CAPACITY,69,1658039680,True,CDC,2022-07-17T06:34:40.000+0000
ERPCO25501,ERP_ERPCO25501_BATTERY_REMAINING_CAPACITY,64,1658039810,False,CDC,2022-07-17T06:36:48.000+0000
ERPCA55503,ERP_ERPCA55503_BATTERY_REMAINING_CAPACITY,59,1658039940,False,CDC,2022-07-17T06:38:56.000+0000
CRM508416,CRM_CRM508416_BATTERY_REMAINING_CAPACITY,65,1658040060,False,CDC,2022-07-17T06:41:04.000+0000
ERPID55501,ERP_ERPID55501_BATTERY_REMAINING_CAPACITY,64,1658040060,False,CDC,2022-07-17T06:41:04.000+0000
CRM516189,CRM_CRM516189_BATTERY_REMAINING_CAPACITY,68,1658040060,False,CDC,2022-07-17T06:41:04.000+0000
CRM640286,CRM_CRM640286_BATTERY_REMAINING_CAPACITY,68,1658040060,False,CDC,2022-07-17T06:41:04.000+0000
CRM4000813490,CRM_CRM4000813490_BATTERY_REMAINING_CAPACITY,63,1658040190,False,CDC,2022-07-17T06:43:12.000+0000
ERPVA15501,ERP_ERPVA15501_BATTERY_REMAINING_CAPACITY,64,1658040320,False,CDC,2022-07-17T06:45:20.000+0000
ERPID15502,ERP_ERPID15502_BATTERY_REMAINING_CAPACITY,37,1658040450,False,CDC,2022-07-17T06:47:28.000+0000
CRM4000173891,CRM_CRM4000173891_BATTERY_REMAINING_CAPACITY,66,1658040580,False,CDC,2022-07-17T06:49:36.000+0000
CRM366903,CRM_CRM366903_BATTERY_REMAINING_CAPACITY,47,1658040700,False,CDC,2022-07-17T06:51:44.000+0000
CRM4001414346,CRM_CRM4001414346_BATTERY_REMAINING_CAPACITY,65,1658041220,True,CDC,2022-07-17T07:00:16.000+0000
ERPCA55501,ERP_ERPCA55501_BATTERY_REMAINING_CAPACITY,66,1658041220,False,CDC,2022-07-17T07:00:16.000+0000
